Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
B033;DrkN;05:40:59.0;-02:27:30;Ori;6.00;4.00;90;;;;;;;;;;;;;;;;;;;;;Horsehead Nebula;;;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|PosAng:2
C009;HII;22:57:54.0;+62:31:06;Cep;50.00;30.00;;;;;;;;;;;;;;;;;;;;;LBN 529,SH 2-155;Cave Nebula;;;Type:2|RA:2|Dec:2|Const:99|MajAx:9|MinAx:9
C014;*Ass;02:20:42.0;+57:08:15;Per;50.00;50.00;;;;;;;;;;;;;;;;;;;;;;Double Cluster,h & chi Persei;;;Type:99|RA:99|Dec:99|Const:99|MajAx:99|MinAx:99
C041;OCl;04:26:54.0;+15:52:00;Tau;329.00;;;;;;;;;;;104.920;-28.000;40;0.000133;;;;;;;;Cl 050,Mel 025;Hyades;;;Type:2|RA:2|Dec:2|Const:99|MajAx:11|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
C099;DrkN;12:31:19.0;-63:44:36;Cru;;;;;;;;;;;;;;;;;;;;;;;;Coalsack Nebula;;;Type:2|RA:2|Dec:2|Const:99
Cl399;*Ass;19:25:24.0;+20:11:00;Vul;70.00;;;3.93;3.60;;;;;;;;;;;;;;;;;;;Brocchi's Cluster,Al Sufi's Cluster,Coathanger Asterism;;;Type:2|RA:2|Dec:2|Const:99|MajAx:99|B-Mag:2|V-Mag:2
ESO056-115;G;05:23:34.5;-69:45:22;Dor;646.00;550.00;170;0.80;0.29;;;;23.45;SBm;;1.910;0.229;262;0.000875;;;;;;;;ESO-LV 0561150,IRAS 05240-6948,PGC 017223;Large Magellanic Cloud,Nubecula Major;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|SurfBr:3|Hubble:3|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
ESO097-013;G;14:13:09.95;-65:20:21.2;Cir;8.71;4.27;37;12.02;10.56;6.24;5.35;4.98;24.94;Sb;;;;434;0.001449;;;;;;;;2MASXJ 14130990-6520204,ESO-LV 0970130, IRAS 14092-6506,PGC 050779;Circinus Galaxy;Within 10 degrees of the galactic plane.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO107-004;G;21:03:29.62;-67:10:52.8;Pav;2.14;1.74;135;12.89;11.97;10.07;9.41;9.11;23.38;E;0.2301;-0.089;0.065;3166;0.010617;;;;;;;;2MASX J21032958-6710528,ESO-LV 1070040,PGC 066000;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
ESO121-006;G;06:07:29.86;-61:48:27.3;Pic;4.17;0.79;42;10.57;12.6;10.12;9.37;8.98;21.11;Sc;;;;1203;0.004020;;;;;;;;2MASX J06072985-6148272,ESO-LV 1210060,IRAS 06070-6147,PGC 018437;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO121-026;G;06:21:38.75;-59:44:23.7;Pic;2.40;1.78;113;12.58;11.94;9.90;9.25;9.01;22.99;SBbc;0.8216;1.852;-2.222;2274;0.007615;;;;;;;;2MASX J06213875-5944236,ESO-LV 1210260,IRAS 06210-5942,PGC 018880;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
ESO138-010;G;16:59:02.95;-60:12:57.7;Ara;5.50;3.98;56;11.68;11.42;9.08;8.48;8.21;23.85;Sd;;;;1147;0.003833;;;;;;;;2MASX J16590295-6012576,ESO-LV 1380100,IRAS 16545-6008,PGC 059373;;Extended HIPASS source.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO142-019;G;19:33:18.96;-58:06:51.3;Pav;2.45;1.05;161;13.15;11.93;9.96;9.10;8.85;23.32;Sab;;;;4374;0.014697;;;;;;;;2MASX J19331895-5806513,ESO-LV 1420190,PGC 063351;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO183-030;G;18:56:55.94;-54:32:43.6;Tel;2.34;1.95;25;12.62;11.67;9.21;8.53;8.33;23.19;E-S0;;;;2694;0.009026;;;;;;;;2MASX J18565595-5432435,ESO-LV 1830300,PGC 062600;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO185-054;G;20:03:27.03;-55:56:49.8;Tel;2.09;0.87;131;12.11;11.24;8.87;8.19;7.93;22.52;E;;;;4379;0.014714;;;;;;;;2MASX J20032702-5556498,ESO-LV 1850540,PGC 064041;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO208-021;G;07:33:56.25;-50:26:34.9;Pup;3.80;2.75;109;12.17;11.22;8.84;8.13;7.88;23.81;E-S0;;;;1049;0.003506;;;;;;;;2MASX J07335622-5026345,ESO-LV 2080210,PGC 021293;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO213-011;G;10:16:55.52;-48:52:51.9;Vel;3.55;2.09;10;12.24;11.87;9.61;9.04;8.63;23.27;Sc;;;;2738;0.009174;;;;;;;;2MASX J10165552-4852518,IRAS 10149-4837,PGC 030022;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO221-026;G;14:08:23.81;-47:58:13.7;Cen;3.16;2.19;0;12.07;11.06;8.49;7.80;7.54;23.42;E;0.0222;-0.042;0.295;1416;0.004734;;;;;;;;2MASX J14082374-4758149,ESO-LV 2210260,PGC 050448;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
ESO265-007;G;11:07:49.57;-46:31:27.5;Cen;4.68;1.26;143;12.34;11.38;9.33;8.66;8.39;23.35;SBc;;;;1068;0.003567;;;;;;;;2MASX J11074847-4631334,ESO-LV 265-0070,IRAS 11055-4615,PGC 033705;;RC3 gives V = 1640 +- 60 km/sec.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO269-057;G;13:10:04.43;-46:26:14.4;Cen;3.71;2.14;47;12.51;11.86;9.82;9.10;8.78;23.76;SABa;;;;3103;0.010406;;;;;;;;2MASX J13100442-4626143,ESO-LV 269-0570,PGC 045683;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO270-017;G;13:34:47.30;-45:32:51.0;Cen;11.48;1.45;111;11.76;11.72;;;;24.00;SBm;;;;827;0.002764;;;;;;;;ESO-LV 2700170,IRAS 13317-4517,MCG-07-28-004,PGC 047847;Fourcade-Figueroa;Extended HIPASS source.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO273-014;G;14:58:30.37;-47:41:56.2;Lup;4.79;3.55;89;12.89;11.96;10.73;10.42;9.79;24.77;IB;;;;1050;0.003509;;;;;;;;2MASX J14583037-4741561,IRAS 14550-4730,PGC 053500;;Two entries for this object in the ESO/Uppsala Catalogue.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO274-001;G;15:14:13.84;-46:48:28.6;Lup;9.77;1.55;39;11.72;11.19;8.93;8.42;8.36;23.86;Scd;;;;524;0.001751;;;;;;;;2MASX J15141342-4648331,ESO-LV 2740010,IRAS 15108-4637,PGC 054392;;The 2MASX position is centered on two knots southwest of the center.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO311-012;G;07:47:34.05;-41:27:07.7;Pup;4.37;0.72;15;12.78;11.83;8.92;8.11;7.88;24.36;S0-a;;;;1128;0.003769;;;;;;;;2MASX J07473405-4127077,ESO-LV 3110120,MCG-07-16-001,PGC 021815;;|b| < 10 degrees.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO351-030;G;01:00:09.35;-33:42:32.5;Scl;15.26;15.26;99;10.37;8.60;;;5.98;19.51;E;;0.090;0.020;111;0.000372;;;;;;;;ESO-LV 3510300,MCG-06-03-015,PGC 003589;Sculptor Dwarf Elliptical;;;Type:1|RA:1|Dec:1|Const:99|MajAx:2|MinAx:2|PosAng:3|B-Mag:3|V-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
ESO356-004;G;02:39:59.33;-34:26:57.1;For;12.88;10.47;48;9.03;7.40;;;6.62;23.42;E;;0.476;-0.360;55;0.000184;;;;;;;;ESO-LV 3560040,MCG-06-07-001,PGC 010074,PGC 010093;Fornax Dwarf Spheroidal;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|K-Mag:2|SurfBr:3|Hubble:3|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
ESO358-063;G;03:46:19.01;-34:56:36.8;For;4.27;1.26;132;12.61;11.89;10.18;9.44;9.14;23.44;Scd;;;;1943;0.006502;;;;;;;;2MASX J03461900-3456368,ESO-LV 3580630,IRAS 03444-3505,MCG-06-09-030,PGC 013809;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO373-008;G;09:33:21.51;-33:02:00.6;Ant;3.72;0.98;90;12.71;11.93;9.86;9.21;8.88;23.17;Sc;;;;922;0.003079;;;;;;;;2MASX J09332150-3302006,IRAS 09312-3248,MCG-05-23-006,PGC 027135;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO380-001;G;12:14:45.12;-35:30:35.3;Hya;2.14;1.62;18;12.89;11.89;9.67;8.97;8.75;23.09;Sb;;;;2707;0.009069;;;;;;;;2MASX J12144510-3530352,ESO-LV 3800010,IRAS 12121-3513,MCG-06-27-009,PGC 039125;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO380-006;G;12:15:34.27;-35:37:47.1;Hya;3.63;1.62;79;12.60;11.54;9.13;8.43;8.16;23.57;Sb;;;;3133;0.010504;;;;;;;;2MASX J12153426-3537470,ESO-LV 3800060,IRAS 12129-3521,MCG-06-27-011,PGC 039212;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO383-087;G;13:49:17.50;-36:03:48.4;Cen;4.27;3.31;86;11.29;10.91;10.63;9.99;9.88;22.97;Sd;1.2763;-2.300;0.266;333;0.001110;;;;;;;;2MASX J13491749-3603483,ESO-LV 3830870,IRAS 13463-3548,MCG-06-30-025,PGC 049050;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
ESO390-006;GCl;16:28:40.10;-35:21:13.0;Sco;5.40;;;;12.00;;;;;;0.1330;-5.577;-1.760;-135.7;-0.000453;;;;;;;;MWSC 2414;;;;Type:2|RA:2|Dec:2|Const:99|MajAx:5|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
ESO428-011;G;07:15:31.28;-29:21:32.5;CMa;1.82;1.38;23;12.94;11.89;9.62;8.90;8.64;22.97;E-S0;;;;2115;0.007080;;;;;;;;2MASX J07153127-2921324,ESO-LV 4280110,MCG-05-18-001,PGC 020514;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO443-024;G;13:01:00.79;-32:26:28.7;Cen;2.34;2.00;166;12.91;11.84;9.48;8.77;8.51;23.49;E-S0;;;;5016;0.016874;;;;;;;;2MASX J13010079-3226289,ESO-LV 4430240,MCG-05-31-012,PGC 044852;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO462-015;G;20:23:13.84;-27:42:52.4;Sgr;2.14;1.74;166;12.95;11.92;9.80;9.10;8.81;23.48;E;;;;5741;0.019337;;;;;;;;2MASX J20231383-2742525,ESO-LV 4620150,MCG-05-48-009,PGC 064584;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO494-026;G;08:06:11.09;-27:31:42.3;Pup;4.07;2.69;146;12.45;11.51;8.91;8.21;7.88;23.93;SABb;;;;964;0.003221;;;;;;;;2MASX J08061109-2731422,ESO-LV 4940260,IRAS 08041-2723,PGC 022746;;|b| < 10 degrees.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO495-021;G;08:36:15.13;-26:24:33.8;Pyx;1.95;1.41;136;12.46;11.83;9.88;9.27;9.00;22.66;E-S0;;;;880;0.002941;;;;;;;;2MASX J08361519-2624336,ESO-LV 4950210,IRAS 08341-2614,MCG-04-21-005,PGC 024171;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO507-025;G;12:51:31.84;-26:27:07.5;Hya;2.63;2.14;98;12.61;11.60;9.27;8.59;8.31;23.45;E-S0;;;;3237;0.010855;;;;;;;;2MASX J12513184-2627077,ESO-LV 5070250,MCG-04-30-029,PGC 043557;;Extended HIPASS source.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO556-015;G;06:21:05.56;-20:02:54.3;CMa;2.57;2.19;130;12.62;11.83;9.86;9.18;8.84;23.31;SBab;;;;1980;0.006625;;;;;;;;2MASX J06210556-2002543,ESO-LV 5560150,IRAS 06189-2001,MCG-03-17-002,PGC 018858,UGCA 128;;Extended HIPASS source.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
H05;OCl;12:27:16.0;-60:46:42;Cru;6.00;;;7.39;7.10;;;;;;0.7640;-7.051;-0.288;-14;-0.000048;;;;;;;;Cl 258,MWSC 2033;;;;Type:2|RA:2|Dec:2|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
H13;OCl;17:03:51.0;-48:05:00;Ara;4.50;;;;;;;;;;0.8070;-2.766;-7.190;-4;-0.000014;;;;;;;;MWSC 2523;;;;Type:2|RA:2|Dec:2|Const:99|MajAx:5|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
H20;OCl;19:53:06.0;+18:20:00;Sge;5.10;;;8.40;7.70;;;;;;0.4610;-1.732;-4.447;6;0.000021;;;;;;;;Cl 408,MWSC 3198;;;;Type:2|RA:2|Dec:2|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
H21;OCl;23:54:13.2;+61:44:24;Cas;1.80;;;;9.00;;;;;;;0.050;-3.470;;;;;;;;;;MWSC 3774;;;;Type:2|RA:2|Dec:2|Const:99|MajAx:5|V-Mag:2|Pm-RA:2|Pm-Dec:2
HCG079;GGroup;15:59:11.9;+20:45:31;Se1;2.80;;;;;;;;;;;;;4256;0.014300;;;;;;;;IRAS 15570+2053;Seyfert's Sextet;;;Type:1|RA:1|Dec:1|Const:99|MajAx:99|RadVel:2|Redshift:2
HCG092;GGroup;22:35:59.0;+33:57:30;Peg;4.40;;;;;;;;;;;;;6376;0.021500;;;;;;;;IRAS 22337+3342;Stephan's Quintet;Contains the GPair NGC 7318.;;Type:1|RA:1|Dec:1|Const:99|MajAx:99|RadVel:2|Redshift:2
M040;**;12:22:16.1;+58:05:04;UMa;;;;;8.00;;;;;;;;;;;;;;040;;;;WDS J12222+5805AB;;;;Type:1|RA:1|Dec:1|Const:99|V-Mag:10
M102;Dup;14:03:12.54;+54:20:56.2;UMa;;;;;;;;;;;;;;;;;;;101;;;;;;;Identification is controversial, here we take NED assumption.;Type:1|RA:1|Dec:1|Const:99
Mel022;OCl;03:47:28.6;+24:06:19;Tau;150.00;150.00;90;;1.20;;;;;;7.3640;19.997;-45.548;7;0.000022;;;;045;;;;MWSC 0305;Pleiades;;;Type:2|RA:2|Dec:2|Const:99|MajAx:5|V-Mag:10|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
Mel071;OCl;07:37:33.6;-12:03:18;Pup;14.40;;;7.44;7.10;;;;;;0.4340;-2.446;4.210;50;0.000167;;;;;;;;MWSC 1287;;;;Type:2|RA:2|Dec:2|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
Mel072;OCl;07:28:38.8;-10:42:00;Mon;7.50;;;;10.10;;;;;;0.3690;-4.159;3.680;72;0.000239;;;;;;;;MWSC 1293;;;;Type:2|RA:2|Dec:2|Const:99|MajAx:5|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
Mel101;OCl;10:42:12.0;-65:06:00;Car;8.40;;;8.50;8.00;;;;;;0.4390;-6.307;3.483;20;0.000068;;;;;;;;MWSC 1840;;;;Type:2|RA:2|Dec:2|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
Mel105;OCl;11:19:42.0;-63:29:00;Car;5.40;;;9.05;8.50;;;;;;0.4070;-6.771;2.133;1;0.000003;;;;;;;;MWSC 1933;;;;Type:2|RA:2|Dec:2|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
Mel111;OCl;12:25:06.0;+26:06:00;Com;253.50;;;;;;;;;;11.6400;-12.111;-8.996;0;-0.000002;;;;;;;;;Coma Star Cluster;;;Type:2|RA:2|Dec:2|Const:99|MajAx:5|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
MWSC3156;GCl;19:41:44.41;-33:59:58.1;Sgr;3.90;;;;11.54;;;;;;0.0500;-2.440;-1.550;148;0.000494;;;;;;;;;;;;Type:2|RA:2|Dec:2|Const:99|MajAx:5|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
MWSC3171;GCl;19:45:14.40;-08:00:26.0;Aql;5.40;;;;7.54;;;;;;0.1090;-1.766;-4.971;-68;-0.000226;;;;;;;;;;;;Type:2|RA:2|Dec:2|Const:99|MajAx:5|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
MWSC3561;GCl;21:46:38.84;-21:15:09.4;Cap;2.70;;;;11.89;;;;;;0.0500;-3.220;-3.333;28;0.000094;;;;;;;;;;;;Type:2|RA:2|Dec:2|Const:99|MajAx:5|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
PGC000143;G;00:01:58.16;-15:27:39.3;Cet;10.47;3.55;5;11.04;10.76;;;;23.91;IB;;;;-130;-0.000434;;;;;;;;MCG-03-01-015,UGCA 444;Wolf-Lundmark-Melotte,WLM Galaxy;Position is for superposed star close to center.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
PGC003853;G;01:05:04.88;-06:12:44.6;Cet;4.27;3.16;57;12.42;11.69;10.15;9.67;9.33;24.03;SABc;;;;1098;0.003668;;;;;;;;2MASX J01050487-0612445,IRAS 01025-0628,MCG-01-03-085;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
PGC025886;G;09:10:49.46;-08:53:26.5;Hya;5.75;0.83;30;11.93;11.52;8.75;8.04;7.70;23.17;SABb;;;;1868;0.006250;;;;;;;;2MASX J09104945-0853265,IRAS 09083-0841,MCG-01-24-001,UGCA 150;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
PGC029653;G;10:11:00.80;-04:41:34.0;Sex;5.25;4.47;180;12.32;11.77;;;;24.52;IB;;;;324;0.001081;;;;;;;;MCG-01-26-030,UGCA 205;Sextans A;Position in 1975A&A....19....1G refers to a starcloud southeast of the center.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
PGC088608;G;10:13:02.9;-01:36:53.0;Sex;30.20;12.02;56;12.00;10.40;;;8.13;28.07;E-S0;;-0.260;0.100;224;0.000748;;;;;;;;;Sextans Dwarf Spheroidal;;;Type:1|RA:2|Dec:2|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|K-Mag:2|SurfBr:3|Hubble:3|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
UGC04305;G;08:19:04.98;+70:43:12.1;Cam;7.94;5.62;15;11.16;10.75;10.09;8.92;8.80;24.08;I;;-0.246;0.735;157;0.000524;;;;;;;;2MASX J08190497+7043121,IRAS 08140+7052,MCG+12-08-033,PGC 023324,;;Position in 1999ApJS..125..409C refers to a knot east of the center.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
UGC05373;G;10:00:00.10;+05:19:56.0;Sex;4.90;3.09;101;11.92;11.51;;;;23.68;IB;;-1.535;2.430;304;0.001015;;;;;;;;MCG+01-26-005,PGC 028913,SDSS J100000.82+052009.5;Sextans B;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|SurfBr:3|Hubble:3|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
UGC05470;G;10:08:28.10;+12:18:23.0;Leo;11.75;8.51;81;11.16;10.36;;;7.31;25.35;E;;-0.114;-0.126;283;0.000943;;;;;;;;MCG+02-26-027,PGC 029488;Leo I;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|K-Mag:2|SurfBr:3|Hubble:3|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
